BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-06,Транснф ап,TRNFP,31147,1191334120.2,1231,1217.2,1257.4,1230,1237.8,1230,962491,1239,1239,,959108658.4,959108658.4,,0,3,SUR,0.18,2025-05-06
TQBR,2025-05-06,Таттел. ао,TTLK,1204,11790278,0.785,0.785,0.809,0.802,0.8015,0.802,14712000,0.8015,0.8015,,11790278,11790278,,0,3,SUR,1.13,2025-05-06
TQBR,2025-05-06,ТЗА ао,TUZA,124,1451965,160,159.5,164.5,164,163,164.5,8910,163,163,,1451965,1451965,,0,3,SUR,3.46,2025-05-06
TQBR,2025-05-06,ЮГК,UGLD,27320,566111114,0.6319,0.6224,0.6419,0.6371,0.6345,0.632,892253000,0.6349,0.6349,,348584533.9,348584533.9,,0,3,SUR,0.73,2025-05-06
TQBR,2025-05-06,ЮжКузб. ао,UKUZ,13,98890,1026,1022,1044,1042,1040,1042,95,,1032,,0,504760,,0,3,SUR,1.36,2025-05-06
TQBR,2025-05-06,iАвиастКао,UNAC,2347,39556852.5,0.5875,0.586,0.6,0.5985,0.594,0.5935,66573000,0.5945,0.5945,,20782371,20782371,,0,3,SUR,1.54,2025-05-06
TQBR,2025-05-06,ЮУНК ао,UNKL,69,472950,5160,5060,5310,5200,5140,5200,92,,5140,,0,503780,,0,3,SUR,1.36,2025-05-06
TQBR,2025-05-06,Юнипро ао,UPRO,10240,275373060,1.639,1.621,1.674,1.667,1.654,1.654,166460000,1.654,1.654,,167016759,167016759,,0,3,SUR,0.98,2025-05-06
TQBR,2025-05-06,УрКузница,URKZ,7,231000,33100,32800,33100,33000,33000,33000,7,,33400,,0,501100,,0,3,SUR,-0.3,2025-05-06
TQBR,2025-05-06,УралСиб ао,USBN,84,495327,0.1523,0.1523,0.1599,0.153,0.1558,0.153,3180000,,0.1557,,0,507684,,0,3,SUR,-1.16,2025-05-06
TQBR,2025-05-06,ЮТэйр ао,UTAR,136,616117,12.65,12.61,13.25,12.87,12.92,12.87,47700,12.92,12.92,,616117,616117,,0,3,SUR,2.14,2025-05-06
TQBR,2025-05-06,ОВК ао,UWGN,10048,117746088.2,40.6,40,41.58,41.5,41.02,41.02,2870207,41.08,41.08,,85258995.66,85258995.66,,0,3,SUR,1.53,2025-05-06
TQBR,2025-05-06,VEON,VEON-RX,134,1031101.5,77.3,76.3,78.8,76.45,77.35,76.45,13330,77.35,77.35,,1031101.5,1031101.5,,0,3,SUR,-1.1,2025-05-06
TQBR,2025-05-06,ВолгЭнСб,VGSB,5,73450,10.5,10.4,10.55,10.5,10.5,10.55,7000,,10.5,,0,503150,,0,3,SUR,1.44,2025-05-06
TQBR,2025-05-06,ВолгЭнСб-п,VGSBP,4,43440,10.88,10.68,10.98,10.68,10.86,10.68,4000,,10.64,,0,500160,,0,3,SUR,-1.29,2025-05-06
TQBR,2025-05-06,Варьеган,VJGZ,22,268550,2475,2460,2515,2495,2485,2515,108,,2490,,0,503215,,0,3,SUR,1.21,2025-05-06
TQBR,2025-05-06,Варьеган-п,VJGZP,5,13770,1530,1530,1530,1530,1530,1530,9,,1560,,0,508505,,0,3,SUR,0,2025-05-06
TQBR,2025-05-06,"МКПАО ""ВК""",VKCO,37139,1226740678.7,253,244,265.3,259.8,255.2,257,4806328,253.6,253.6,,621065483.8,621065483.8,,0,3,SUR,1.7,2025-05-06
TQBR,2025-05-06,ВХЗ-ао,VLHZ,144,1274012,169,168,176.6,175,170.8,175,7460,170.8,170.8,,1274012,1274012,,0,3,SUR,3.8,2025-05-06
TQBR,2025-05-06,ТНСэнВорон,VRSB,213,3543995,382.5,380.5,398,395,392.5,395,9030,392.5,392.5,,3543995,3543995,,0,3,SUR,4.91,2025-05-06
TQBR,2025-05-06,ТНСэнВор-п,VRSBP,39,216598,125.6,123.2,126.4,126.4,125.2,126.4,1730,,125.6,,0,505308,,0,3,SUR,0.64,2025-05-06
TQBR,2025-05-06,ВИ.ру,VSEH,4067,31720959.2,91.3,89.9,92.75,91.2,91.3,90.85,347406,91.3,91.3,,23312822.1,23312822.1,,0,3,SUR,-0.6,2025-05-06
TQBR,2025-05-06,ВСМПО-АВСМ,VSMO,832,49823260,30680,30340,32160,31880,31460,31740,1584,31460,31460,,28916440,28916440,,0,3,SUR,3.46,2025-05-06
TQBR,2025-05-06,ВыбСудЗ ао,VSYD,27,543850,11200,11000,11800,11050,11350,11050,48,11350,11350,,543850,543850,,0,3,SUR,-1.34,2025-05-06
TQBR,2025-05-06,ВыбСудЗ ап,VSYDP,6,63650,8000,7900,8000,7950,7950,7950,8,,8050,,0,508150,,0,3,SUR,1.27,2025-05-06
TQBR,2025-05-06,ВТБ ао,VTBR,141287,5943962294.59,96.35,95.92,98.28,97.49,97.25,97.42,61119518,97.14,97.14,,3367259154.69,3367259154.69,,0,3,SUR,1.28,2025-05-06
TQBR,2025-05-06,ЦМТ ао,WTCM,143,1042904,12.76,12.4,12.92,12.84,12.74,12.84,81900,12.74,12.74,,1042904,1042904,,0,3,SUR,0.16,2025-05-06
TQBR,2025-05-06,ЦМТ ап,WTCMP,249,1244372,9.66,9.66,9.86,9.8,9.78,9.8,127200,9.78,9.78,,1244372,1244372,,0,3,SUR,1.66,2025-05-06
TQBR,2025-05-06,iВУШХолднг,WUSH,17624,286616690.5,165.5,162.55,168.9,167.28,165.71,165.81,1729615,165.48,165.48,,235276616.54,235276616.54,,0,3,SUR,0.31,2025-05-06
TQBR,2025-05-06,КЦ ИКС 5,X5,44917,1863359818.5,3239.5,3201.5,3266.5,3244,3238,3238.5,575476,3236,3236,,1337317243,1337317243,,0,3,SUR,0.05,2025-05-06
TQBR,2025-05-06,ЯТЭК ао,YAKG,134,456454,57.65,57.5,59.2,58.5,58.2,58.5,7840,,58.1,,0,547304,,0,3,SUR,1.74,2025-05-06
TQBR,2025-05-06,ЯНДЕКС,YDEX,54734,3129265784,3860,3817,4065.5,4040,3971,4013,787755,3966.5,3966.5,,2378823354.5,2378823354.5,,0,3,SUR,3.96,2025-05-06
TQBR,2025-05-06,Якутскэнрг,YKEN,15,127520,0.478,0.468,0.478,0.471,0.472,0.471,270000,,0.484,,0,561150,,0,3,SUR,0.21,2025-05-06
TQBR,2025-05-06,Якутскэн-п,YKENP,20,251550,0.375,0.369,0.378,0.37,0.37,0.37,680000,,0.369,,0,513540,,0,3,SUR,0.27,2025-05-06
TQBR,2025-05-06,ТНСэнЯр,YRSB,4,28740,718,718,720,720,718,720,40,,712,,0,505100,,0,3,SUR,2.56,2025-05-06
TQBR,2025-05-06,ТНСэнЯр-п,YRSBP,37,189785,188,186,190,189,188,189,1010,,185.5,,0,510745,,0,3,SUR,0.8,2025-05-06
TQBR,2025-05-06,Займер ао,ZAYM,1739,18624016,143.8,143.5,145.25,144,144.35,144.1,129030,144.35,144.35,,15940346.5,15940346.5,,0,3,SUR,0.21,2025-05-06
TQBR,2025-05-06,ЗИЛ ао,ZILL,23,239030,4095,4095,4140,4140,4120,4140,58,,4120,,0,519330,,0,3,SUR,1.1,2025-05-06
TQBR,2025-05-06,ЗВЕЗДА ао,ZVEZ,2,14780,7.4,7.38,7.4,7.38,7.39,7.38,2000,,7.39,,0,502270,,0,3,SUR,1.1,2025-05-06
