BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-15,Приморье,PRMB,2,58400,29200,29200,29200,29200,29200,29200,2,,29600,,0,504200,,0,3,SUR,-1.35,2025-04-15
TQBR,2025-04-15,ПРОМОМЕД,PRMD,1247,22379171.25,399.25,384.2,400,396.9,395.95,397.8,56517,395.75,395.75,,18911183.45,18911183.45,,0,3,SUR,-0.36,2025-04-15
TQBR,2025-04-15,iNanduQPLC,QIWI,986,24895012.4,168.4,166.6,171.6,168.8,168.8,168,147539,168.8,168.8,,19516605.8,19516605.8,,0,3,SUR,0.84,2025-04-15
TQBR,2025-04-15,Русагро,RAGR,67040,353714483.08,128.28,125.62,129.98,126.56,127.44,127.94,2775642,127.28,127.28,,278362199.72,278362199.72,,0,3,SUR,-0.27,2025-04-15
TQBR,2025-04-15,Распадская,RASP,5327,109739101,240.95,234.6,244.55,236.85,239,238.2,459200,238.5,238.5,,84261082,84261082,,0,3,SUR,-1.14,2025-04-15
TQBR,2025-04-15,ГК РБК ао,RBCM,4886,92120772.5,13.3,13.21,14.35,13.63,13.89,13.63,6631800,13.89,13.89,,92120772.5,92120772.5,,0,3,SUR,1.91,2025-04-15
TQBR,2025-04-15,РДБанк ао,RDRB,19,85385,149,146.5,149,147.5,147,147.5,580,,148.5,,0,501155,,0,3,SUR,-1.01,2025-04-15
TQBR,2025-04-15,Ренессанс,RENI,2801,44452863,117.82,117.06,120.44,118,118.78,119.46,374250,118.32,118.32,,29485382,29485382,,0,3,SUR,1.46,2025-04-15
TQBR,2025-04-15,РГС СК ао,RGSS,449,1965747.4,0.2386,0.2292,0.2442,0.2342,0.2358,0.2342,8336000,0.2358,0.2358,,1965747.4,1965747.4,,0,3,SUR,-2.74,2025-04-15
TQBR,2025-04-15,ЭнергияРКК,RKKE,442,13543990,19150,18800,19300,18930,18940,18930,715,18940,18940,,13543990,13543990,,0,3,SUR,-1.1,2025-04-15
TQBR,2025-04-15,РуссНфт ао,RNFT,35457,1181778173.45,120.55,117.5,122.95,119.1,120.1,121.45,9840073,119.8,119.8,,895879600.15,895879600.15,,0,3,SUR,0.75,2025-04-15
TQBR,2025-04-15,Русолово,ROLO,1068,12734077.2,0.6354,0.6302,0.6474,0.6342,0.6376,0.6342,19973000,0.6376,0.6376,,12734077.2,12734077.2,,0,3,SUR,-0.19,2025-04-15
TQBR,2025-04-15,Роснефть,ROSN,35150,1107010350,449.5,446.5,454,449.5,450.75,452.05,2455806,450.75,450.75,,772538824.6,772538824.6,,0,3,SUR,0.61,2025-04-15
TQBR,2025-04-15,РОСИНТЕРао,ROST,33,296594,122.6,118,123,118,120,118,2470,,120.6,,0,509112,,0,3,SUR,-2.32,2025-04-15
TQBR,2025-04-15,ГР Ростов,RTGZ,2,106600,53400,53200,53400,53200,53400,53200,2,52000,51400,,934600,564800,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,Ростел -ао,RTKM,42088,1277768096.2,55.77,54.31,56.39,55.34,55.25,55.69,23128210,55.19,55.19,,1062986644.9,1062986644.9,,0,3,SUR,-0.14,2025-04-15
TQBR,2025-04-15,Ростел -ап,RTKMP,9597,282693673,54.45,53.5,55.8,54.35,54.7,54.5,5167100,54.75,54.75,,263009724.5,263009724.5,,0,3,SUR,0.83,2025-04-15
TQBR,2025-04-15,ТНСэнРст,RTSB,39,175995,2.555,2.55,2.705,2.68,2.665,2.675,66000,,2.69,,0,500200,,0,3,SUR,0.94,2025-04-15
TQBR,2025-04-15,ТНСэнРст-п,RTSBP,113,641546,1.348,1.26,1.348,1.296,1.286,1.298,499000,1.286,1.286,,641546,641546,,0,3,SUR,-1.96,2025-04-15
TQBR,2025-04-15,РУСАЛ ао,RUAL,22573,589836663.45,32.9,32.72,33.45,32.925,33.125,33.095,17804720,33.14,33.14,,491876052,491876052,,0,3,SUR,0.67,2025-04-15
TQBR,2025-04-15,ИКРУСС-ИНВ,RUSI,468,3042858,76.9,74.2,79.8,79.6,78.1,79.6,38960,78.1,78.1,,3042858,3042858,,0,3,SUR,6.28,2025-04-15
TQBR,2025-04-15,РязЭнСб,RZSB,35,339158,29.84,29.82,30.2,30.18,30.02,30.18,11300,,30,,0,500836,,0,3,SUR,0.94,2025-04-15
TQBR,2025-04-15,СамарЭн-ао,SAGO,26,200585,2.86,2.8,2.865,2.8,2.825,2.8,71000,,2.825,,0,502635,,0,3,SUR,-2.27,2025-04-15
TQBR,2025-04-15,СамарЭн-ап,SAGOP,54,606675,2.835,2.765,2.865,2.81,2.81,2.81,216000,2.81,2.81,,606675,606675,,0,3,SUR,-0.53,2025-04-15
TQBR,2025-04-15,СаратЭн-ао,SARE,22,101990,0.455,0.438,0.455,0.44,0.443,0.44,230000,,0.436,,0,501430,,0,3,SUR,-2.22,2025-04-15
TQBR,2025-04-15,СаратЭн-ап,SAREP,40,403625,0.2545,0.2395,0.2545,0.243,0.2445,0.243,1650000,,0.246,,0,501985,,0,3,SUR,-2.99,2025-04-15
TQBR,2025-04-15,Сбербанк,SBER,55506,7237200065.2,296.51,295.6,300.45,297.2,298.33,297.99,24258710,298.61,298.61,,5380690089.2,5380690089.2,,0,3,SUR,0.5,2025-04-15
TQBR,2025-04-15,Сбербанк-п,SBERP,8311,598382101.5,294.24,293.94,298.7,295.28,296.55,296.02,2017820,296.74,296.74,,476536877.7,476536877.7,,0,3,SUR,0.35,2025-04-15
TQBR,2025-04-15,Селигдар,SELG,12129,78609984.3,46.68,46.35,47.48,46.78,46.91,46.9,1675650,46.97,46.97,,57995942.9,57995942.9,,0,3,SUR,0.86,2025-04-15
TQBR,2025-04-15,ЭсЭфАй ао,SFIN,6872,170722879.6,1383,1383,1429,1399.8,1406.8,1406.2,121371,1407.2,1407.2,,142343718,142343718,,0,3,SUR,1.74,2025-04-15
TQBR,2025-04-15,Сегежа,SGZH,42702,1342518648.8,1.627,1.541,1.629,1.555,1.582,1.575,848482800,1.576,1.576,,843459118.1,843459118.1,,0,3,SUR,-2.54,2025-04-15
